COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
492	0.86609-0.021401i	491.9995+8.691914e-05i
493	0.6699-0.12359i	492.9961+7.819626e-07i
494	1.2562-0.070525i	494.0073-0.0001467382i
495	0.35615+0.038975i	495.0041-8.540656e-05i
496	0.86303-0.051044i	496.001-2.266372e-05i
497	0.88133+0.076477i	496.998+4.153053e-05i
498	1.2143-0.037312i	497.995+0.0001072169i
499	1.5081+0.1076i	499.0069-3.195136e-05i
500	0.55062+0.0058599i	500.0041-0.0001106264i
501	0.48042+0.033713i	501.0015-4.040004e-05i
502	0.59464+0.028328i	501.999+3.148992e-05i
503	0.94722+0.11838i	502.9965+0.0001050867i
504	1.2448-0.10036i	503.9941+3.12217e-05i
505	1.2018+0.21448i	505.0068-9.717195e-05i
506	0.86333+0.1617i	506.0047-1.835683e-05i
507	0.7276-0.01861i	507.0026-8.803052e-05i
508	0.53247-0.01747i	508.0007-5.780933e-06i
509	0.7063-0.009516i	508.9988+7.844959e-05i
510	1.6672+0.13057i	509.9971+1.316054e-05i
511	1.2265+0.059203i	510.9954+0.0001011037i
512	0.46797+0.017004i	511.9939+3.88402e-05i
513	0.55301+0.020621i	513.0077-7.257323e-05i
514	0.59968+0.041482i	514.0064-0.0001313651i
515	0.96011+0.10003i	515.0052-3.51603e-05i
516	1.0085+0.29665i	515.996+9.528085e-05i
517	0.8446+0.023271i	517.0013-1.090722e-05i
518	0.59741-0.26675i	518.0067-0.0001322059i
519	0.61117+0.22552i	518.9967+9.851586e-05i
520	0.51287+0.060564i	520.0023-5.080316e-05i
521	1.3125-0.0074666i	521.0081-6.006309e-05i
522	0.79985-0.050951i	521.9984-2.097672e-05i
523	1.2871+0.21066i	523.0043-5.868229e-05i
524	0.54323-0.040448i	523.9948+0.0001126632i
525	1.2477+0.0014012i	525.001+4.609793e-05i
526	0.60236+0.018716i	526.0073-3.64539e-05i
527	0.78125+0.064917i	526.998+9.694954e-05i
528	1.0974+0.33003i	528.0046-1.568709e-05i
529	0.6522+0.04221i	528.9954+9.229362e-05i
530	0.54898+0.016536i	530.0022-5.125199e-05i
531	0.38763+0.053154i	530.9932+0.0001901098i
532	1.6232-0.81605i	532.0003+1.520154e-05i
533	0.78046-0.037504i	533.0075-0.0001771973i
534	0.91768+0.024817i	533.9988+2.360002e-05i
535	0.54713+0.10683i	535.0062-4.033273e-05i
536	0.41663-0.17118i	535.9977-2.771955e-05i
537	0.60317+0.039147i	537.0054-0.0001244033i
538	1.369-0.084723i	537.997+2.182924e-05i
539	0.65905+0.097749i	539.0049-0.000108099i
540	0.83942-0.59113i	539.9967+9.801096e-06i
541	1.435-0.17955i	541.0049+9.172658e-06i
542	0.53178-0.0032195i	541.9969+9.828208e-05i
543	1.4121-0.12777i	543.0054-0.0001004356i
544	0.93666+0.0026278i	543.9976+0.0001232372i
545	0.087137+0.3621i	545.0063-0.0001110512i
546	1.0281+0.0066713i	545.9987+8.287977e-05i
547	0.77407-0.023234i	547.005-0.0001316759i
548	0.52459-0.62884i	547.9952+7.404223e-05i
549	0.90439-0.016079i	549.0023-1.833203e-06i
550	1.0135-0.052833i	549.9927+0.0002079677i
551	1.0513+0.65258i	551.0001-3.104882e-05i
552	0.42372-0.028931i	552.0077-0.0001004682i
553	1.0301-0.035585i	552.9986+0.0001155793i
554	1.135-0.29205i	554.0065-0.0001179131i
555	0.78575-0.011079i	554.9977+0.0001024465i
556	0.33788-0.043496i	556.006-0.0001271898i
557	0.58893+0.082187i	556.9975+9.776804e-05i
558	0.85726-0.051437i	558.0061-0.0001277035i
559	0.82945-0.0040763i	558.9979+0.0001021478i
560	0.13986-0.34402i	560.0069-0.0001188409i
561	1.222-0.031495i	560.999+0.0001162078i
562	0.82005-0.0097264i	562.0085-9.99708e-05i
563	0.6613-0.0082701i	563.0008-3.260729e-05i
564	0.95049-0.0006222i	563.9933+3.682094e-05i
565	0.66606+0.037191i	565.0033+1.813436e-06i
566	1.2518-0.29193i	565.9961+7.629094e-05i
567	1.088-0.12947i	567.0066-0.0001271914i
568	0.90518+0.41819i	567.9997-4.780474e-05i
569	0.38152-0.1584i	568.993+0.0002100719i
570	0.96946-0.0091298i	570.004+1.540241e-05i
571	0.89732-0.31895i	570.9976+0.0001031424i
572	1.3369+0.026601i	572.0091-8.542597e-05i
573	0.73121+0.0064976i	573.003+8.087182e-06i
574	0.67289+0.0036856i	573.9971+0.0001044875i
575	0.84976+0.099196i	575.0093-7.434451e-05i
576	0.65015+0.29239i	576.0047-0.0001295419i
577	1.0944-0.083774i	576.9993-2.804656e-05i
578	1.1732+0.30667i	577.994+6.338245e-05i
579	1.498+0.2286i	579.0069-0.0001387073i
580	0.9332-0.0039534i	580.002-6.940044e-05i
581	0.69747-0.030664i	580.9972-1.063428e-05i
582	1.2475-0.11777i	581.9926+0.0002196429i
583	0.82494+0.99018i	583.0064-3.211838e-05i
584	0.93672-0.0011974i	584.0022-7.011259e-06i
585	1.1112+0.073815i	584.9981+6.903987e-06i
586	0.74217-0.098871i	585.9942+0.0001935824i
587	0.87261+0.20108i	587.0089-0.0001106125i
588	0.60867+0.0041745i	588.0053-0.000132375i
589	1.2311+0.013385i	589.0019+1.955536e-05i
590	1.209+0.0082953i	589.9987-2.563512e-05i
591	0.5447+0.056273i	590.9957+0.0001034887i
