2021-12-10T22:57:30.235
Frequency Re(k) Im(k)
NG = 100, Rad = 10.0, (φ, θ) = (90.0,0.0), polydegs = (4, 3), material: Ag
375.0	0.012398934737799273	6.330995556688258e-6
376.0	0.012434385072260447	6.345024371726282e-6
