COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
496	0.9638-0.26827i	496.1128-0.0006682486i
497	0.69393+0.0077578i	497.1116-0.0006619516i
498	0.57459+0.0063149i	498.1088-0.0006909858i
499	0.81253+0.034546i	499.1044-0.000696241i
500	0.71514+0.049592i	500.0984-0.0007077742i
501	0.92482+0.021307i	501.1205-0.0006588228i
502	0.77366+0.012759i	502.1113-0.0006838727i
503	0.65168+0.0027418i	503.1005-0.0007162231i
504	0.77737+0.0049621i	504.1176-0.0006889686i
505	0.72477+0.026599i	505.1035-0.0007369208i
506	0.75946-0.05241i	506.1173-0.0006962499i
507	0.60602+0.021739i	507.0998-0.0007316259i
508	0.43926-0.060285i	508.1103-0.0007382766i
509	0.74939-0.053565i	509.119-0.000695096i
510	2.1906+0.13985i	510.1261-0.000691293i
511	1.3811+0.095204i	511.1018-0.0007652152i
512	0.68661-0.048677i	512.1054-0.0007525719i
513	1.3256+0.044492i	513.1073-0.0007508766i
514	0.48491-0.012628i	514.1074-0.0007605254i
515	1.9985-0.50068i	515.1057-0.0007523838i
516	0.92468-0.11001i	516.1117-0.0007541232i
517	1.0068-0.14508i	517.1163-0.0007601917i
518	1.1307-0.074412i	518.1193-0.0007734451i
519	0.47516-0.024732i	519.1206-0.0007915979i
520	1.1182-0.18026i	520.1202-0.0008123458i
521	1.4017-0.070235i	521.1183-0.0008333663i
522	1.5367+0.9873i	522.1146-0.0008523177i
523	2.1559+1.1267i	523.1093-0.0008668396i
524	1.3475-0.11389i	524.1318-0.0008277378i
525	1.1843-0.25233i	525.1231-0.0008841054i
526	1.038-0.46115i	526.1128-0.0008993768i
527	1.7322-0.18947i	527.1301-0.0008801324i
528	1.4907+0.70115i	528.1163-0.0009225226i
529	1.8237+1.2722i	529.1302-0.0009233381i
530	0.84994+0.78224i	530.113-0.0009827734i
531	1.6955+1.0125i	531.1234-0.0009640964i
532	1.2398-0.22457i	532.1321-0.0009459788i
533	1.5256-0.49965i	533.1096-0.001040568i
534	1.0772-0.87596i	534.1148-0.001046076i
535	0.90423+1.0432i	535.1181-0.001044213i
536	0.63897+0.065572i	536.1196-0.001061607i
537	0.33905+0.92518i	537.1194-0.001095522i
538	0.49223+1.152i	538.1173-0.00111391i
539	1.4278-0.22707i	539.1134-0.001143299i
540	0.11087-1.0859i	540.137-0.001087876i
541	1.8579+0.069022i	541.1294-0.001129715i
542	0.19671+1.2416i	542.12-0.001174064i
543	0.32212+1.3088i	543.1379-0.001121661i
544	0.62323+0.013162i	544.1248-0.001190463i
545	1.4687+0.01949i	545.139-0.001183575i
546	2.0432+0.18098i	546.1221-0.001235834i
547	1.3649+0.95723i	547.1394-0.001207734i
548	1.7358+0.22362i	548.1346-0.001238657i
549	1.4197+1.2462i	549.1272-0.00125534i
550	1.4453-0.67911i	550.1171-0.001316494i
551	1.6479+0.4692i	551.1334-0.001263068i
552	2.3262+0.42786i	552.1179-0.001326754i
553	0.3959+0.070542i	553.1287-0.001305501i
554	2.3336+0.7142i	554.1367-0.001271794i
555	1.4598+0.95595i	555.142-0.001255176i
556	0.434+0.15038i	556.1444-0.001256081i
557	0.82822-0.011855i	557.1439-0.001274956i
558	2.4078+0.76978i	558.1406-0.001283225i
559	1.5217-0.088922i	559.1344-0.001339417i
560	1.3643-1.0964i	560.1253-0.001356967i
561	0.65796+0.43172i	561.1422-0.001320653i
562	1.8387+0.54314i	562.1273-0.001378299i
563	1.0064+1.4202i	563.1383-0.001353782i
564	1.1929-1.2754i	564.1463-0.001321406i
565	1.0743-1.2379i	565.1223-0.001413989i
566	0.382+1.1307i	566.1242-0.001425539i
567	0.50039-1.0399i	567.1231-0.001430888i
568	1.4949+0.70923i	568.1477-0.001355736i
569	1.3963-1.3551i	569.1404-0.00140803i
570	1.777-1.0974i	570.1298-0.001455868i
571	0.67233+1.0736i	571.145-0.001395687i
572	1.0099+0.85788i	572.1281-0.001465169i
573	0.85118-0.61142i	573.1369-0.001456404i
574	1.3163+1.1367i	574.1423-0.001445409i
575	0.84511-0.32346i	575.1445-0.001432854i
576	0.35787+1.0484i	576.1476-0.001428312i
577	1.0071+0.11247i	577.1523-0.001442095i
578	0.74568+0.77634i	578.1537-0.001464738i
579	0.49469-1.35i	579.1519-0.001464679i
580	1.2076-1.059i	580.1469-0.001525142i
581	1.4229-0.70799i	581.1386-0.001557095i
582	2.12-0.75799i	582.1558-0.001533529i
583	0.42106-1.173i	583.1409-0.001584754i
584	1.4247+0.4486i	584.1514-0.001572673i
585	0.61368-1.2934i	585.1585-0.00157559i
586	0.52377-1.1877i	586.1337-0.001675238i
587	1.8441+0.50857i	587.134-0.00169955i
588	0.72389-1.4265i	588.1595-0.00164266i
589	1.4298-0.024436i	589.1529-0.001673732i
590	1.2754-0.32396i	590.1428-0.001732237i
591	0.81613+1.2014i	591.1578-0.001696925i
592	1.3246-1.1122i	592.1407-0.001799238i
593	1.2043+0.77164i	593.1485-0.001770586i
594	1.95-0.9476i	594.1527-0.001782306i
595	2.2449-0.10678i	595.1533-0.001802363i
596	1.2667-0.28743i	596.1502-0.001855597i
597	2.1072+0.14223i	597.1435-0.001909928i
598	0.51598-1.8673i	598.1614-0.001837358i
599	1.4348+1.4097i	599.1472-0.001938648i
600	1.3053+0.99771i	600.1576-0.001903602i
601	0.83321-1.2347i	601.1641-0.001909423i
602	1.324+0.34241i	602.1669-0.001923835i
603	1.7117+0.1678i	603.1657-0.001942891i
604	0.016457-0.063298i	604.1607-0.001990886i
605	2.1536-0.65255i	605.1537-0.002041745i
606	1.046+1.4279i	606.1454-0.002146712i
607	0.89899+0.15377i	607.1613-0.002085727i
608	1.5193+0.099208i	608.1451-0.002091883i
609	0.69553-0.17381i	609.1531-0.002175835i
610	0.91845+1.89i	610.1571-0.002184373i
611	1.1024+1.8274i	611.157-0.002113407i
612	0.21133-1.1773i	612.1529-0.002240214i
613	0.58767-0.012192i	613.1729-0.002139501i
614	0.43292+1.7917i	614.1605-0.00236569i
615	2.1771-0.35732i	615.1721-0.002353346i
616	1.2679-0.16482i	616.1514-0.002379981i
617	1.1546+1.2706i	617.1546-0.0024377i
618	2.0178-0.49685i	618.1535-0.002382642i
619	0.39812+0.60628i	619.1761-0.002344607i
620	0.74248-1.5343i	620.1663-0.002329056i
621	1.176-0.17239i	621.1522-0.002466403i
622	0.4583-1.8573i	622.1616-0.00260225i
623	0.76284-0.043383i	623.1666-0.00259884i
624	2.0165+0.045555i	624.167-0.002451373i
625	1.846+0.19551i	625.163-0.00271292i
626	1.1477-1.2266i	626.1544-0.002541089i
627	1.8654-0.64621i	627.1691-0.002612285i
628	1.8294+0.44161i	628.1791-0.00251611i
629	0.48103+1.1863i	629.1566-0.002682926i
