COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
499	2.2837+0.028626i	504.7327+0.1536694i
500	2.7899+0.00054466i	505.7669+0.1518981i
501	2.866-0.013391i	506.8128+0.1501388i
502	2.664-0.00098555i	507.8701+0.1483916i
503	2.505-0.0039809i	508.9023+0.1464112i
504	2.6517+0.0018347i	509.9457+0.1446257i
505	2.5484+0.01008i	511.0005+0.1426694i
506	2.8361-0.0010622i	512.0481+0.1407851i
507	2.3008-0.016567i	513.0886+0.1387899i
508	2.4154+0.0029244i	514.1401+0.1368065i
509	2.9057-0.0021621i	515.1843+0.134712i
510	2.9805-0.010155i	516.2394+0.1328112i
511	3.224-0.0016541i	517.2871+0.1306171i
512	2.4172-2.9913e-05i	518.3454+0.1286162i
513	2.9844-0.0013719i	519.3963+0.1263221i
514	3.4002+0.0014818i	520.4394+0.1240976i
515	2.6736-0.0020412i	521.4931+0.1218841i
516	3.1135+0.011115i	522.5552+0.1212954i
517	3.2539-0.0011986i	523.6109+0.1204544i
518	2.4146+0.001479i	524.6595+0.1196839i
519	3.2882+0.00095031i	525.719+0.1187684i
520	2.9826+0.0039097i	526.7893+0.1179103i
521	3.4551+0.00058339i	527.8342+0.1166852i
522	2.7879+0.00099113i	528.9078+0.1155094i
523	3.0607+0.0039027i	529.956+0.1141814i
524	2.3968-0.087051i	531.0327+0.1129481i
525	3.0837-0.00084179i	532.0838+0.1114184i
526	3.0436+0.0050124i	533.1453+0.1097094i
527	3.1106+0.00017574i	534.2171+0.1080241i
528	3.454+0.0018667i	535.281+0.1062418i
529	2.7945+0.0041413i	536.3372+0.1042027i
530	3.127+0.0018563i	537.4034+0.102075i
531	3.1216-0.00062822i	538.4795+0.09988404i
532	3.1439+0.0021149i	539.5475+0.09750345i
533	3.7184+0.0061756i	540.6253+0.09510756i
534	3.4335+0.0054686i	541.6949+0.09238912i
535	3.4879-0.00080042i	542.7563+0.08954736i
536	3.0885+0.00089906i	543.8272+0.0865854i
537	2.7647-0.0072974i	544.9075+0.08353087i
538	3.1371-0.0040563i	545.9793+0.08007159i
539	3.8461+0.017155i	547.0603+0.07674957i
540	3.1605-0.0010096i	548.1327+0.07307258i
541	3.5328+0.00010468i	549.2142+0.06923304i
542	3.2771-0.11151i	550.2869+0.06526666i
543	3.1522-0.00038767i	551.3684+0.06101723i
544	3.0642-0.0092634i	552.4586+0.05669185i
545	2.8383-0.0010966i	553.5399+0.05214509i
546	3.1849+0.0028694i	554.6297+0.0474048i
547	3.4393+0.00071113i	555.7133+0.04162123i
548	2.3585+0.0047794i	556.7979+0.03525115i
549	2.8662+0.0022722i	557.887+0.0287838i
550	3.2384+0.0025826i	558.9802+0.02222485i
551	2.2494+0.02442i	560.0599+0.01522567i
552	3.2201+0.011635i	561.161+0.008326425i
553	2.6505-0.0004826i	562.2482+0.001173358i
554	2.8624-0.00071155i	563.3564-0.006041907i
