COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
498	2.8414-0.0085347i	495.0775+0.06723785i
499	1.8444+0.00048417i	496.0712+0.06795634i
500	2.6202-0.00060494i	497.0401+0.06843855i
501	2.9321+0.0029789i	498.0207+0.06911105i
502	2.6422+0.0039159i	499.0129+0.0697908i
503	2.6438-0.0013482i	499.9983+0.07035588i
504	2.2257+0.0012625i	500.977+0.07098868i
505	2.6426+0.0051494i	501.9488+0.07168863i
506	2.9749+0.0027847i	502.932+0.07239538i
507	2.9616-0.0018049i	503.9082+0.07298669i
508	2.455-0.00016854i	504.8955+0.07376663i
509	3.3261-0.00011683i	505.8758+0.07443073i
510	2.4171+0.0032476i	506.849+0.07497889i
511	2.7051+0.00056453i	507.833+0.07571476i
512	2.6868+0.0049446i	508.8098+0.0763342i
513	2.2483+0.015258i	509.7793+0.0770179i
514	2.6036+0.00081649i	510.7594+0.07770724i
515	3.0007+0.00083385i	511.7501+0.07858267i
516	2.9673-0.004658i	512.7309+0.08028158i
517	1.5093+0.00057696i	513.7055+0.08204353i
518	2.75+0.0019816i	514.6732+0.0836652i
519	3.052+0.0028579i	515.6519+0.08547172i
520	2.6427+0.0030039i	516.6416+0.0874838i
521	2.5631+0.011315i	517.6062+0.08927746i
522	1.6867+0.0012786i	518.5996+0.09126752i
523	3.3146+0.0032076i	519.5678+0.09325169i
524	2.7416-0.0032766i	520.5467+0.0951592i
525	3.7771-0.0034402i	521.5184+0.09723089i
526	2.2323-0.013165i	522.5005+0.09926789i
527	2.3435-0.010308i	523.4751+0.1015073i
528	2.7104+0.0053002i	524.4601+0.1037551i
529	2.7516+0.0067883i	525.4376+0.1058883i
530	2.6423+0.0099239i	526.4074+0.1081039i
531	2.2634+0.0014778i	527.3873+0.110393i
532	2.9379-0.0061502i	528.3594+0.1128058i
533	2.3458-0.00038746i	529.3238+0.1150066i
534	3.064+0.0044008i	530.3157+0.1175048i
535	2.7854-0.0011748i	531.282+0.1200354i
536	3.0206+0.019865i	532.2579+0.1225783i
537	2.7431-0.00057772i	533.2257+0.1249986i
538	1.7689+0.0012403i	534.2031+0.1276578i
539	3.0369-0.0013271i	535.1722+0.1302411i
540	3.111+0.0019079i	536.1507+0.1331138i
541	3.1126-0.0016779i	537.1208+0.1357825i
542	2.2931+0.018201i	538.1+0.1387929i
543	2.6002-0.0037709i	539.0707+0.1416489i
544	2.997+0.022152i	540.0504+0.1445495i
545	2.7589-0.038987i	541.0214+0.1475225i
546	2.8454+0.0038404i	541.9837+0.1505919i
547	1.8997-0.0299i	542.9593+0.1530527i
548	2.9134+0.00067155i	543.9201+0.1547745i
549	2.0975-0.014108i	544.8858+0.1565483i
550	2.5824-0.00081507i	545.8561+0.1585533i
551	2.8389+0.0094872i	546.8307+0.1604461i
552	3.1968+0.0010422i	547.7923+0.1623988i
553	3.1778+0.0079115i	548.7579+0.1644231i
554	3.2539+0.0028864i	549.7274+0.1663512i
555	3.019-0.0094489i	550.6832+0.1683531i
556	3.1919+0.0063218i	551.6599+0.1704514i
557	3.552+0.0046894i	552.6226+0.1724609i
558	3.0354-0.10787i	553.5885+0.1745686i
559	3.5001+0.022853i	554.5401+0.1765976i
560	3.2384+0.0057035i	555.5117+0.178918i
561	4.1231+0.0064369i	556.4686+0.1809988i
562	2.5016+0.0044341i	557.4278+0.1831999i
563	3.2105+0.0017573i	558.3893+0.1855268i
564	2.8226+0.00059241i	559.3526+0.1878144i
565	2.5814-0.010993i	560.3176+0.1902395i
566	2.8404+0.00015994i	561.2671+0.1924541i
567	2.8551+0.011716i	562.235+0.1950015i
568	3.2519+0.0019364i	563.1868+0.1973506i
569	3.3271+0.0031405i	564.1396+0.1998609i
570	3.2126+0.010562i	565.1099+0.2023835i
571	3.3118-0.0013395i	566.0636+0.2048964i
572	3.2921+0.016975i	567.0174+0.2075891i
573	3.2198+0.0074062i	567.9712+0.2101305i
574	3.1393-0.011772i	568.9247+0.2128648i
575	3.2205-0.0076561i	569.8775+0.215462i
576	3.0445-0.0003415i	570.8301+0.218989i
577	2.7157+0.0032214i	571.785+0.2231085i
578	3.3756+0.00568i	572.7395+0.2273123i
579	3.329-0.0053228i	573.6934+0.2318072i
580	2.5829+0.011023i	574.6466+0.2362993i
581	2.8272+0.080607i	575.5987+0.2408304i
582	3.1444-0.015989i	576.5494+0.245443i
583	3.0659-0.0038817i	577.4987+0.2501804i
584	3.3154-0.0050061i	578.4461+0.2550866i
585	2.6492-0.01308i	579.3914+0.2600407i
586	3.0627-0.0028008i	580.351+0.265286i
587	3.3784+0.0026793i	581.2914+0.2703115i
588	3.3388+0.0050255i	582.2454+0.275726i
589	4.3376-0.00415i	583.1798+0.2811802i
590	3.3347-0.0050243i	584.1272+0.2867955i
591	2.8851-0.028496i	585.0709+0.292424i
592	3.419+0.0055198i	586.0105+0.2982824i
593	3.3498+0.010325i	586.9622+0.3043022i
594	3.3315+0.014992i	587.9092+0.3104988i
595	3.4404-0.004608i	588.835+0.3165568i
596	2.7996+0.0086374i	589.7882+0.3231578i
597	2.5263-0.00047586i	590.7195+0.3297359i
598	3.4486+0.00074902i	591.6612+0.3364459i
599	3.1588+0.014124i	592.5967+0.3433025i
600	3.4802-0.00043527i	593.5256+0.3503682i
601	3.4939-0.0042072i	594.4639+0.357599i
602	3.491+0.0036232i	595.3949+0.3650092i
603	3.9407+0.0041183i	596.3345+0.3725618i
604	3.1584+0.0020828i	597.2661+0.380432i
605	3.1789-0.006183i	598.1983+0.3882569i
606	3.3288-0.018836i	599.1328+0.3964005i
607	3.4503-0.005732i	600.0588+0.4046839i
608	3.2647+0.0047691i	600.9761+0.4130198i
609	3.5181+0.00019368i	601.916+0.4219331i
610	2.7372+0.055781i	602.8304+0.4306692i
611	4.411+0.013782i	603.7666+0.439826i
612	3.9423-0.03761i	604.6765+0.4491227i
613	3.9867-0.005773i	605.6074+0.4586919i
614	3.0877-0.0044319i	606.5271+0.4686382i
615	3.9308+0.00079643i	607.451+0.4788045i
616	4.0958+0.0048443i	608.3629+0.4890499i
617	3.5612+0.0064491i	609.2781+0.499541i
618	3.5754-0.0025375i	610.1961+0.5105307i
619	4.4301-0.032411i	611.1165+0.5216459i
620	3.5195-0.0054407i	612.023+0.5330634i
621	3.2293+0.0045748i	612.931+0.5448073i
622	3.2433+0.0069186i	613.8399+0.5568264i
623	3.584-0.0054095i	614.7492+0.5692284i
624	3.6262+0.0008188i	615.6583+0.5816569i
625	3.3431-0.01168i	616.5667+0.5957769i
626	4.0962-0.0076102i	617.4585+0.6088224i
627	4.1295+0.002951i	618.3641+0.6214015i
628	3.6626+0.00072848i	619.2674+0.6364848i
629	3.6921+0.0022934i	620.1678+0.6511047i
630	2.9292-0.0089946i	621.0648+0.6653926i
631	3.6516-0.00032324i	621.9578+0.681017i
632	3.7096+0.00032437i	622.8462+0.6965742i
633	2.9932-0.00018881i	623.7448+0.7124512i
634	3.6976-0.0033142i	624.6222+0.7298217i
635	4.5949-0.014942i	625.5086+0.7462703i
636	4.2-0.0032958i	626.3893+0.7641117i
637	4.1891-0.0032194i	627.2606+0.7787171i
638	3.3367+0.0015676i	628.1262+0.7942357i
639	3.7325+0.0013847i	628.985+0.8092208i
640	4.1621-0.0041065i	629.851+0.8255031i
641	3.6479+0.012302i	630.7079+0.8413973i
642	3.7676+0.004478i	631.5547+0.8584863i
643	4.6911+0.0046222i	632.4051+0.8755814i
644	3.726+0.005001i	633.243+0.8925219i
645	4.2857+0.0024177i	634.0819+0.911123i
646	4.1941-0.0036462i	634.9207+0.9284739i
647	3.295-0.0040765i	635.758+0.9476425i
648	3.7336-0.0035388i	636.5923+0.9672185i
649	3.8099+0.0058516i	637.4223+0.98877i
650	3.4811-0.0079093i	638.2318+1.009189i
651	4.2611-0.0078829i	639.0489+1.029031i
652	4.7034+0.018036i	639.8719+1.051338i
653	2.9911+0.012058i	640.67+1.074275i
654	3.7583+0.012792i	641.4857+1.097133i
655	3.5365-0.015731i	642.2731+1.120822i
656	4.2797-0.0049233i	643.0748+1.144628i
657	3.6993+0.00012918i	643.8596+1.169686i
658	4.5014+0.030611i	644.6403+1.196311i
659	3.7219-0.0049538i	645.4152+1.221697i
660	3.5701-0.0041323i	646.197+1.24907i
661	3.7207-0.011235i	646.9545+1.278131i
662	4.573+0.01425i	647.715+1.306499i
663	4.3239-0.026951i	648.4763+1.33574i
664	3.9729+0.0043998i	649.2218+1.367224i
665	3.7827+0.0075439i	649.9681+1.398738i
666	3.6475-0.018259i	650.7202+1.43996i
667	3.2411+0.0083751i	651.4659+1.482237i
668	3.697+0.0060632i	652.2036+1.525962i
669	3.6838-0.00092872i	652.9456+1.570289i
670	3.1606+0.0054549i	653.6617+1.616712i
671	3.6372-0.022867i	654.3927+1.664768i
672	3.4157-0.061289i	655.1083+1.715977i
673	3.781+0.012234i	655.8064+1.766534i
674	4.4304-0.0045937i	656.5135+1.820115i
675	4.2964-0.0099873i	657.1991+1.87546i
676	4.4371-0.0030038i	657.8895+1.933421i
677	4.294-0.021808i	658.5682+1.991541i
678	4.0019+0.0070051i	659.233+2.053223i
679	3.735-0.0083202i	659.8958+2.116377i
680	3.9143+0.016341i	660.54+2.181468i
681	3.9785-0.0036555i	661.1773+2.249288i
682	3.9248-0.00032979i	661.8192+2.320643i
683	4.0017-0.0013983i	662.4349+2.393132i
684	4.0061+0.0034316i	663.0501+2.46777i
685	4.0299-0.0016849i	663.6477+2.545192i
686	4.0206+0.00061244i	664.239+2.624933i
687	4.5588+0.0066059i	664.8211+2.707843i
688	4.0188+0.0081501i	665.3769+2.793297i
689	4.4519+0.013854i	665.9453+2.881196i
690	4.5191-0.0047464i	666.481+2.972197i
691	4.3868+0.00041363i	667.0088+3.066192i
692	3.0063+8.1034e-05i	667.525+3.164309i
693	4.6137+0.0032748i	668.0401+3.263652i
694	4.0852-0.0044355i	668.5224+3.366711i
695	3.5973+0.010509i	669.01+3.472352i
696	2.9884+0.0012274i	669.4708+3.581864i
697	4.5721+0.0082093i	669.8795+3.723807i
698	4.1248+0.0071367i	670.232+3.889212i
699	3.9935+0.0032326i	670.5818+4.060717i
700	3.1492-0.043301i	670.8945+4.239742i
701	4.6851+0.0036944i	671.2047+4.422935i
702	4.484+0.0055371i	671.4773+4.612563i
703	4.0522-0.067192i	671.7324+4.807549i
704	3.7756-0.0016497i	671.976+5.007328i
705	3.7278+0.0056004i	672.1857+5.210445i
706	3.3684+0.014185i	672.3666+5.417784i
707	4.7154+0.0063887i	672.5236+5.626965i
708	4.184+0.00089762i	672.661+5.838071i
709	6.2884+0.018504i	672.7687+6.046727i
710	7.5115+0.00039254i	672.8505+6.252906i
711	4.8683+0.15913i	672.9095+6.452739i
712	3.6959+0.0023833i	672.9349+6.642773i
713	3.0965+0.0087534i	672.9295+6.819307i
714	3.5331+0.013549i	672.8826+6.975579i
715	4.0357+0.18024i	672.8114+7.107375i
716	5.4523+0.012903i	672.7064+7.205454i
717	3.7342+0.010907i	672.546+7.258872i
718	4.0551-0.0025167i	672.3524+7.257978i
719	4.4362-0.13083i	672.0968+7.187073i
720	4.6289-0.0063821i	671.7842+7.02999i
721	6.3946+0.0045308i	671.3865+6.767843i
722	6.3119+0.018668i	670.8875+6.384919i
723	5.3078-0.0047543i	670.2474+5.843957i
724	6.4072+0.0034247i	669.4445+5.130201i
725	5.5458+0.0043372i	668.4088+4.234444i
726	7.7752+0.00083693i	666.8586+2.905301i
727	5.5218-0.010268i	664.6839+1.139935i
728	9.7273-0.0012509i	661.8516-0.9444504i
729	6.5119-0.0015978i	658.3334-3.272573i
730	9.7504+0.0019595i	653.897-5.757241i
731	9.773-0.0046504i	648.3896-8.316195i
732	9.772-0.010464i	641.8415-10.76268i
733	9.7994-0.012433i	634.0665-13.05971i
734	7.7593-0.016421i	625.1261-14.98665i
735	6.4333-0.0018159i	614.734-16.54105i
736	7.7845-0.021742i	603.1541-17.40414i
737	9.8578-0.016119i	589.8637-17.60277i
738	13.0465-0.0179899i	574.9948-16.88767i
739	13.0362-0.0232247i	558.1798-15.06323i
740	13.0517-0.0220585i	539.3298-11.81419i
741	12.9896-0.0182154i	518.0858-6.870532i
742	9.8243-0.0042547i	494.66+0.6028952i
743	12.9974+0.0138957i	468.0128+10.92885i
744	19.3333+0.0327215i	438.924+25.62431i
745	19.2991+0.0947016i	405.9752+45.71069i
746	19.2613+0.177578i	370.9659+73.98274i
747	19.2511+0.312806i	335.5572+113.1203i
748	19.3328+0.498301i	304.6774+164.9548i
749	19.498+0.63289i	285.1398+226.7917i
750	19.681+0.687596i	277.554+292.2322i
751	19.8428+0.662087i	281.1472+356.5197i
752	19.9783+0.614733i	291.4684+418.6604i
753	20.0717+0.56944i	306.3851+478.9712i
754	20.1522+0.525618i	325.0214+538.1598i
755	10.4037+0.39903i	346.8809+597.3415i
756	0.0069657-0.00081531i	0.86011+2.0488i
757	0.0094694+0.0032822i	1.3365-0.13582i
758	0.0066853-0.0095002i	0.0087251+0.0015691i
759	0.0050229+0.0022181i	7.2874+0.057227i
760	0.0084395+0.0056458i	0.71517+0.74488i
761	10.5271+0.0850869i	1255.1452+547.53992i
762	10.5257+0.0838521i	1229.0073+515.05049i
763	10.5192+0.0796i	1209.2064+483.19746i
764	10.504+0.0845429i	1194.558+453.99065i
765	7.084+0.065924i	1183.4354+427.00257i
766	10.5177+0.0808672i	1174.8985+403.6717i
767	10.4819+0.0776744i	1168.168+382.22064i
768	10.5282+0.0728302i	1162.8007+363.09778i
769	8.4858+0.056142i	1158.364+346.01884i
770	8.5028+0.055927i	1154.6366+330.12682i
771	6.9504+0.06327i	1151.4636+315.86124i
772	10.5453+0.0651325i	1148.678+302.48281i
773	6.0096+0.033568i	1146.2273+289.89931i
774	6.1033+0.04084i	1144.0959+279.0849i
775	8.4963+0.042384i	1142.1545+268.36353i
776	10.575+0.0604535i	1140.2964+258.23741i
777	7.0241+0.022016i	1138.6096+249.15232i
778	10.6052+0.0476299i	1137.0148+240.585i
779	6.102+0.030381i	1135.4907+232.07701i
780	4.6624+0.021525i	1133.9777+224.54086i
781	5.3563+0.025959i	1132.4535+217.09451i
782	7.1431+0.043169i	1130.9009+209.78701i
783	8.5123+0.030924i	1129.332+203.07388i
784	7.1175+0.03895i	1127.7215+196.5904i
785	7.1029+0.016317i	1125.9999+190.40045i
786	7.1439+0.022253i	1124.015+183.93681i
787	5.2673+0.012863i	1120.9659+177.28103i
788	10.7567+0.0302882i	1117.7516+171.10992i
789	6.1134+0.032678i	1114.3164+164.97344i
790	4.817+0.010581i	1110.5882+159.15802i
791	6.9908+0.010272i	1106.5021+153.63979i
792	8.593+0.040056i	1102.0249+148.43554i
793	7.169+0.024568i	1097.1244+143.28859i
794	6.0313+0.011157i	1091.65+138.80388i
795	10.8026+0.0140188i	1085.7152+134.42328i
796	7.2351+0.021577i	1079.1625+130.58959i
797	5.9544-0.24868i	1072.0399+127.3623i
798	6.181+0.0058783i	1064.2953+124.86098i
799	7.1067+0.074374i	1056.023+123.08086i
800	10.4545+0.0497879i	1047.2341+122.11934i
801	10.8136+0.0322473i	1038.1815+121.83486i
802	14.2583+0.0338312i	1028.7082+122.46112i
803	10.5062+0.0209484i	1018.9975+123.89547i
804	10.7118+0.0706806i	1008.9145+126.26735i
805	8.6516+0.014558i	998.69114+129.38781i
806	10.711+0.0634365i	987.996+133.5212i
807	10.8364+0.0261827i	977.1926+138.4061i
808	10.9164+0.0344349i	966.3784+144.0142i
809	10.7155+0.0579679i	954.983+150.7493i
810	7.2561+0.032835i	943.6222+158.2375i
811	10.3816+0.0850195i	931.9882+166.758i
812	10.8509+0.0367339i	920.0381+176.3681i
813	10.8739+0.0455285i	907.7138+187.1258i
814	10.9752+0.105033i	895.4369+199.0111i
815	10.7921+0.0243981i	882.7938+212.4475i
816	14.5391+0.138528i	868.5549+229.913i
817	10.9459+0.0553213i	854.5208+249.2618i
818	11.0622+0.0894728i	840.8151+270.7236i
819	14.6443+0.140621i	827.5907+294.502i
820	14.6811+0.14835i	815.0633+320.8037i
821	21.7412+0.170247i	803.9039+349.3426i
822	11.1915+0.156473i	793.4767+380.9214i
823	14.817+0.207452i	785.6045+414.5491i
824	11.2692+0.198137i	779.6189+450.7868i
825	21.9291+0.244298i	776.4015+489.1667i
826	7.5915+0.16152i	776.2964+529.4648i
827	15.0105+0.256407i	779.5476+571.3155i
828	11.4149+0.222352i	785.9879+614.82i
829	9.2125+0.1995i	796.85408+658.84546i
830	15.1441+0.248716i	811.9237+703.40126i
831	15.1682+0.258437i	830.9245+748.36965i
832	5.2216+0.11719i	854.74675+793.03991i
833	0.009548-0.026512i	0.013734-0.023915i
834	0.0081742-0.00030113i	0.023552+0.014979i
835	3.2082-0.076389i	797.18038-825.5387i
836	1.9136-0.080841i	838.1308-771.25542i
837	9.334-0.20124i	880.74219-716.25163i
838	3.6529-0.077093i	924.95889-659.9112i
839	1.2035-0.03469i	970.69568-602.78183i
840	4.7281-0.08364i	1017.8535-544.22287i
841	3.9634-0.063238i	1066.2802-484.45553i
842	2.271-0.032799i	1115.9034-423.36693i
843	3.6641-0.039978i	1166.5537-359.90103i
844	6.7437-0.049134i	1217.8963-294.59632i
845	5.2814-0.032822i	1269.0989-226.25889i
846	7.8687-0.031487i	1318.1538-154.46257i
847	11.6407-0.00297955i	1367.9572-58.975875i
848	11.6568+0.012722i	1367.437+57.528749i
849	11.5838+0.00552735i	1275.0472+92.490192i
850	9.29+0.0030739i	1161.2737+39.419483i
851	15.1549-0.0381777i	1016.5693-65.132852i
852	14.9356-0.186036i	824.348-223.3911i
853	15.0698-0.398511i	610.0586-475.5306i
854	0.0074577+0.0022316i	5.4922-0.015931i
855	0.0049871+0.0022993i	9.3201-0.059269i
856	0.0040946-0.0035874i	6.4791-0.073511i
857	0.0032313-0.0012291i	8.1095-0.65294i
858	0.0035015+0.000972i	6.1281-4.4823i
859	0.003042-0.0008679i	6.4997-3.2617i
860	0.0026378-0.0012187i	5.8157-3.5383i
861	0.0021506-0.0012651i	8.3037-2.1598i
862	0.0021263-5.4673e-05i	3.4848-7.3403i
863	0.0085136-0.00015382i	0.081822-0.055749i
864	0.0021975+4.8714e-05i	5.7244+3.1111i
865	0.0020609+0.0013906i	3.8948+1.5467i
866	0.0032491-0.00049409i	2.8987+4.5951i
867	0.0029681-0.0024014i	3.5211+0.63107i
868	0.0006088-0.0022352i	3.3274-2.3052i
869	0.001464+0.0026161i	2.5906-0.34993i
870	0.0022787-0.0030739i	0.11197+2.1247i
871	0.0012954+0.0030477i	1.2949-1.0946i
872	0.0026402+0.00027043i	1.8022-0.45957i
873	0.0014104+0.001541i	0.37663+2.5843i
874	0.00046483-0.0033108i	1.702+0.53095i
875	0.0040595+0.0043598i	0.53892+1.0298i
876	0.0060256+0.0034459i	0.2514+0.98168i
877	2.1707e-05+0.0043874i	1.4985+0.23243i
878	0.0047296+0.002i	0.46637+1.2236i
879	0.004101-0.0021156i	0.74807-1.1292i
880	0.0031243-0.0017229i	0.87623-0.82645i
