-7.025630077706069e-17 + 1.8214596497756474e-16im
0.7635427765976047 - 0.1120667698207565im
7.4098278250374e-5 - 9.213860563739296e-6im
3.6785354670155636e-16 + 2.1944919536571327e-16im
-1.9745678389018403e-6 - 3.052736876807405e-5im
0.030421771497801616 + 0.18956884893226728im
-8.977193988179977e-16 - 1.8283985436795547e-15im
0.04160281498649688 - 0.004061720879564133im
-0.0009194459694964368 + 9.741078901762817e-5im
-7.91033905045424e-16 - 2.8319360745321376e-16im
3.109811153321866e-6 + 5.553304960684291e-5im
-0.0009134700581807957 - 0.021944994049084652im
1.6180633222173668e-15 + 2.3314683517128287e-15im
0.05437841993893988 - 0.006967220512255356im
0.0011406588490821372 - 9.269418074057262e-5im
1.188719261913107e-15 + 8.348356728138384e-17im
-0.030090826306954026 - 0.20070799544604856im
1.4689790283402976e-7 + 1.0466737455194774e-5im
-4.8946645890037e-16 - 3.397144219575987e-16im
0.0012436482534413824 - 0.00020094982614776713im
-0.038118175941357794 + 0.0019191492976119232im
-1.2070205945846624e-14 - 4.447397311535539e-16im
-0.02779679519220519 - 0.21210817216664646im
-3.0028457673074438e-5 - 0.0002775195196110594im
1.0351962342891596e-15 + 5.442694905877232e-16im
-0.003170821789644179 + 0.0003632260533693206im
-0.17979365654830395 + 0.022311300258554104im
1.675428459163575e-14 + 4.556901730956575e-16im
0.016049996130360285 + 0.0979933619048371im
5.6590765963338355e-5 + 0.0004211868470826892im
2.031361190368841e-15 - 5.273559366969494e-16im
0.018647549115174453 - 0.004148214559411687im
-0.0004927099200651014 + 5.253766131099735e-5im
-1.9984014443252818e-15 - 7.494005416219807e-16im
1.5378243592933938e-5 + 0.00021186852259389571im
0.01672191873581888 + 0.1540428337489145im
-9.251280297384312e-15 + 6.078037378953738e-15im
-0.3340667838162124 + 0.04047840297267691im
0.008481648586028658 - 0.0007744201469872258im
5.780098621954721e-15 + 1.1830814106161824e-15im
-4.375786471107592e-5 - 0.0006458535440163251im
-0.018453803030629767 - 0.10485204524242428im
7.541710311809169e-15 - 8.43465922106823e-15im
-0.018021976429413146 + 0.0012695681584639126im
-0.012504066683469834 + 0.0008150775073059273im
-1.5265566588595902e-15 - 6.591949208711867e-17im
0.0005172579578160835 + 0.027996174273850843im
-7.531379742631295e-7 - 2.6641368922442066e-5im
5.342948306008566e-16 + 5.421010862427522e-16im
-0.002794571606436244 + 0.0003825126807547041im
0.2606010447413485 - 0.03033908394439474im
2.1871393585115584e-14 + 3.859759734048396e-16im
0.02230460213967681 + 0.10338369057424798im
7.26262604346696e-5 + 0.0008544720565931349im
-1.0061396160665481e-15 - 6.187541798374774e-16im
0.009832852109878956 - 0.0008341961723450008im
0.026140832523974134 - 0.002037035505631779im
-3.428680950268159e-14 + 1.6263032587282567e-17im
0.0007658954204767254 + 0.011713449148738418im
-0.00011649638386230544 - 0.0011960960824150967im
