1.0191500421363742e-16 - 3.469446951953614e-18im
-0.32467699352655643 - 0.07819466814647553im
5.591722276399589e-5 + 1.3318825650477034e-5im
-6.970335766909308e-16 - 2.0686577451023425e-16im
-0.00011626854930507841 - 3.189269685012616e-5im
0.4469495361391244 + 0.10711189730595676im
4.887583393564654e-16 + 7.35089072945172e-17im
0.4154798554640131 + 0.09927002320913406im
-0.0006134861790356258 - 0.00014623036755285275im
8.395963155168567e-16 + 2.133998620024688e-16im
0.00018377538773074482 + 4.932450729893626e-5im
-0.22533411236870304 - 0.054034308264925786im
-1.085503215092487e-15 - 1.7531549129090607e-16im
-0.12532455680212343 - 0.030038225029527806im
0.00061188060452023 + 0.0001390434810575867im
-1.6225763137603377e-17 - 4.4120252156581996e-17im
-0.30394357926210924 - 0.07018450951785668im
0.00037639730336167486 + 9.721015557836651e-5im
1.654452492906122e-15 + 4.1176050335220774e-16im
0.0016325848521946925 + 0.00046759917498115345im
0.26276466424688527 + 0.057579745761111675im
-1.8742331905213794e-15 - 4.981908982570893e-16im
0.08497598672431174 + 0.016115501300019923im
-0.0037476060712061743 - 0.0009353766891678772im
-3.528292024865265e-15 - 7.693498615957139e-16im
-0.001730513324143694 - 0.000483893035086974im
-0.051232024698284466 - 0.009322060462423157im
2.6814691417818837e-15 + 8.474666281232945e-16im
0.015129504465039498 + 0.004302635316192341im
0.004108448856512231 + 0.001003579879466204im
-1.1470858984896637e-16 - 4.336808689942018e-19im
-0.3085248848846647 - 0.06978886475578244im
-0.00010886526548523068 - 3.2707062375486595e-5im
6.938893903907228e-16 + 2.0816681711721685e-16im
0.0006342071579256425 + 0.00014929763829801476im
0.22719956604530778 + 0.050367451150063074im
-2.3869795029440866e-15 - 7.788908407135864e-16im
0.1296082259876805 + 0.02738593370464691im
6.519187478620878e-5 + 6.832184872886896e-5im
2.3869795029440866e-15 + 3.881443777498106e-16im
-0.00165427995149596 - 0.00038116546489248837im
-0.08323240537849312 - 0.01714609947245092im
7.358696985093616e-15 + 2.1718737919229625e-15im
-0.01663653947689224 - 0.0027807474362373137im
0.0025956267986364215 + 0.0006346677711675575im
-1.942890293094024e-16 - 2.3418766925686896e-17im
-0.18008085334823465 - 0.03978429308618944im
-0.00041224399593155214 - 0.00010707645225613294im
-3.164135620181696e-15 - 7.615436059538183e-16im
-0.002159920468522765 - 0.0006479810025761777im
0.09553022445043013 + 0.020980472029543874im
7.549516567451064e-15 + 2.0747292772682613e-15im
0.1333809496075048 + 0.02901227337508411im
0.003339627086452801 + 0.0008429210622041827im
8.08467875978991e-15 + 1.7898009463390707e-15im
-0.001341015770618844 - 0.0003235203702413418im
-0.047503709104098304 - 0.01039821840148739im
-1.2545520178264269e-14 - 3.299444051307887e-15im
-0.020235872527116894 - 0.0045761569866086226im
-0.00013967893499561984 - 4.95322585394465e-5im
