1.6479873021779667e-17 + 3.122502256758253e-17im
-0.012636555943276631 - 0.04576360766462881im
-1.0452076282183924e-5 + 4.2073028247059785e-7im
-4.336808689942018e-17 + 3.8163916471489756e-17im
-4.9143722216641186e-6 + 1.575385901149247e-5im
0.07457632212192436 + 0.12474933183087962im
-1.9762295098979532e-16 - 2.0781445141115906e-16im
0.11699371615592612 + 0.14789345320567873im
3.357199584952744e-5 - 3.258795718266358e-6im
-4.8573213781900284e-18 - 1.9494813832211108e-17im
4.467585146472608e-5 - 3.9630023485285465e-5im
-0.0764902073308821 - 0.081003120766247im
2.0117371310468535e-16 + 1.7181893928464032e-16im
-0.048258061238233785 - 0.0461831121401145im
-6.773478145502901e-5 - 1.4610104994924183e-5im
-3.469446951953614e-17 + 4.85722573273506e-17im
-0.03903231050255233 + 0.08520827272430867im
4.551712902763072e-5 + 4.923738659096122e-6im
5.4643789493269423e-17 - 1.1438332919722072e-16im
0.00017304764323236924 + 7.811579122251472e-5im
0.17592916113145585 - 0.22645490390808903im
8.378714388967978e-16 + 8.396061623727746e-16im
0.2442099892657765 - 0.33593952425277207im
-0.0004918935226557314 - 0.00010146213909646012im
-5.984795992119984e-17 + 1.2256905559948628e-16im
-0.00038206569809474955 - 0.0005329948856903494im
-0.1564405063170468 + 0.1752337935450341im
-1.7650811368064012e-15 - 9.893073773387107e-16im
-0.12624307804772703 + 0.17239859440232716im
0.0005181927947907668 - 8.474214343998955e-5im
0.0 - 4.597017211338539e-17im
0.08913651777733844 + 0.005282179072452722im
4.715134585409064e-5 - 5.347343838178059e-5im
-5.551115123125783e-17 - 1.249000902703301e-16im
4.177715487269085e-5 - 0.0002943003173474651im
-0.22092839801922665 - 0.07543569456874948im
9.159339953157541e-16 - 1.942890293094024e-16im
-0.3249026163198212 - 0.16234508627760807im
-0.0003127715054771357 + 0.0006797239160707541im
1.734723475976807e-16 + 2.3158558404290375e-16im
-0.00030328513664348855 + 0.0007901567337481596im
0.15466808824755834 + 0.07661465425402007im
-1.582067810090848e-15 + 6.678685382510707e-16im
0.2034028171852952 + 0.12240459195856979im
0.0007811817033343132 - 0.0007696631636548079im
1.6653345369377348e-16 + 2.7755575615628914e-17im
-0.013081277648419098 - 0.09718105964713691im
-0.00013387417165330873 + 8.971660549125793e-5im
1.3877787807814457e-16 + 2.498001805406602e-16im
-0.0005016302147826147 - 2.0128685264124424e-5im
-0.05265638834405198 + 0.17298828491707607im
-3.472916398905568e-15 - 4.614364446098307e-16im
-0.16707177346687718 + 0.32582213282124467im
0.0013753422524609288 - 0.0012106045664658713im
-4.128641872824801e-16 - 2.3071822230491534e-16im
0.0014229685596030585 + 0.001187495488950861im
0.05803207947452483 - 0.0738556620526768im
7.587680483922554e-15 - 7.667477763817487e-16im
0.1894243594900655 - 0.24121661593193552im
-0.0019630966226536622 + 0.003145699757745587im
